2025-03-16 18:10:57,915 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'Test2', 'Test2')'
2025-03-16 18:14:41,177 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 18:14:56,530 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'Test2', 'Test2')'
2025-03-16 18:15:26,800 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 18:16:41,121 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'Test2', 'Test2')'
2025-03-16 18:17:39,875 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'Test2', 'Test2')'
2025-03-16 18:20:14,382 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(92,)'
2025-03-16 18:20:14,383 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(92,)'
2025-03-16 18:20:14,399 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(92,)'
2025-03-16 18:20:20,350 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 18:20:36,806 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(93,)'
2025-03-16 18:20:36,807 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(93,)'
2025-03-16 18:20:36,831 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(93,)'
2025-03-16 18:20:40,775 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(94,)'
2025-03-16 18:20:40,776 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(94,)'
2025-03-16 18:20:40,820 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(94,)'
2025-03-16 18:20:43,516 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(95,)'
2025-03-16 18:20:43,518 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(95,)'
2025-03-16 18:20:43,537 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(95,)'
2025-03-16 18:20:47,383 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 18:20:52,422 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'Test2', 'Test2')'
2025-03-16 18:27:49,654 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'Test2', 'Test2')'
2025-03-16 18:27:57,952 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'Test2', 'Test2')'
2025-03-16 18:31:14,386 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'Test2', 'Test2')'
2025-03-16 18:32:15,284 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'Test2', 'Test2')'
2025-03-16 18:34:00,628 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 18:34:16,225 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(96,)'
2025-03-16 18:34:16,226 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(96,)'
2025-03-16 18:34:16,243 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(96,)'
2025-03-16 18:36:30,673 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 18:39:06,291 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'Test2', 'Test2')'
2025-03-16 18:39:32,923 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'Test2', 'Test2')'
2025-03-16 19:05:25,007 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 19:05:48,645 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 19:06:03,890 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 19:07:18,887 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 19:07:31,768 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(99,)'
2025-03-16 19:07:31,769 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(99,)'
2025-03-16 19:07:31,795 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(99,)'
2025-03-16 19:07:36,280 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(100,)'
2025-03-16 19:07:36,281 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(100,)'
2025-03-16 19:07:36,320 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(100,)'
2025-03-16 19:07:41,242 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(98,)'
2025-03-16 19:07:41,242 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(98,)'
2025-03-16 19:07:41,279 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(98,)'
2025-03-16 19:07:46,316 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(101,)'
2025-03-16 19:07:46,318 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(101,)'
2025-03-16 19:07:46,369 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(101,)'
2025-03-16 19:07:49,982 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 19:07:55,824 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(102,)'
2025-03-16 19:07:55,824 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(102,)'
2025-03-16 19:07:55,850 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(102,)'
2025-03-16 19:07:59,851 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(97,)'
2025-03-16 19:07:59,851 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(97,)'
2025-03-16 19:07:59,900 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(97,)'
2025-03-16 19:08:03,128 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 19:09:01,741 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'Test2', 'Test2')'
2025-03-16 19:21:23,806 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'Test2', 'Test2')'
2025-03-16 19:23:00,209 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 19:23:13,103 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(103,)'
2025-03-16 19:23:13,104 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(103,)'
2025-03-16 19:23:13,132 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(103,)'
2025-03-16 19:23:18,251 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(104,)'
2025-03-16 19:23:18,251 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(104,)'
2025-03-16 19:23:18,290 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(104,)'
2025-03-16 19:23:24,993 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 19:23:57,600 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'Test2', 'Test2')'
2025-03-16 19:26:42,972 - DEBUG - *SQL*: 'UPDATE tasks SET status = ?, category = ?, expiration = ?, title = ?, notes = ? WHERE id = ?;' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'New title', 'Test2', 105)'
2025-03-16 19:27:19,282 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 19:29:48,211 - DEBUG - *SQL*: 'UPDATE tasks SET status = ?, category = ?, expiration = ?, title = ?, notes = ? WHERE id = ?;' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'New again', 'Test2', 105)'
2025-03-16 19:34:48,995 - DEBUG - *SQL*: 'UPDATE tasks SET status = ?, category = ?, expiration = ?, title = ?, notes = ? WHERE id = ?;' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'next title of title', 'Test2', 105)'
2025-03-16 19:36:45,498 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 19:38:35,992 - DEBUG - *SQL*: 'UPDATE tasks SET status = ?, category = ?, expiration = ?, title = ?, notes = ? WHERE id = ?;' | PARAMS: '(0, 'Work', '2025-08-02 13:00', 'yes?', 'Test2', 105)'
2025-03-16 19:41:49,882 - DEBUG - *SQL*: 'UPDATE tasks SET status = ?, category = ?, expiration = ?, title = ?, notes = ? WHERE id = ?;' | PARAMS: '(1, 'Work', '2026-08-01 22:00', 'Full modif', 'Full notes', 105)'
2025-03-16 19:45:33,212 - DEBUG - *SQL*: 'UPDATE tasks SET status = ?, category = ?, expiration = ?, title = ?, notes = ? WHERE id = ?;' | PARAMS: '(1, 'Work', '2026-08-01 22:00', 'Full modif', 'Full crottes', 105)'
2025-03-16 19:48:29,074 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 19:49:02,454 - DEBUG - *SQL*: 'UPDATE tasks SET status = ?, category = ?, expiration = ?, title = ?, notes = ? WHERE id = ?;' | PARAMS: '(1, 'test', '2026-08-01 22:01', 'Full modif2', 'Full crottesss', 105)'
2025-03-16 19:49:15,699 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 20:52:01,274 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-16 20:52:13,501 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(105,)'
2025-03-16 20:52:13,502 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(105,)'
2025-03-16 20:52:13,531 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(105,)'
2025-03-16 20:52:18,910 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-17 11:14:58,214 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-17 11:20:18,103 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-06-06 20:00', 'test', 'test')'
2025-03-17 12:03:12,369 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(0, 'Work', '2025-06-06 20:00', 'test', 'test')'
2025-03-17 12:04:07,306 - DEBUG - *SQL*: 'UPDATE tasks SET status = ?, category = ?, expiration = ?, title = ?, notes = ? WHERE id = ?' | PARAMS: '(1, 'Work', '2026-05-31 10:00', 'new title', 'new notes', 107)'
2025-03-17 12:04:29,817 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-17 12:05:10,433 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(106,)'
2025-03-17 12:05:10,434 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(106,)'
2025-03-17 12:05:10,458 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(106,)'
2025-03-17 12:05:18,122 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(107,)'
2025-03-17 12:05:18,123 - DEBUG - *SQL*: 'DELETE FROM tasks WHERE id = ?' | PARAMS: '(107,)'
2025-03-17 12:05:18,146 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks WHERE id = ?' | PARAMS: '(107,)'
2025-03-17 12:05:54,436 - DEBUG - *SQL*: 'INSERT INTO tasks (status, category, expiration, title, notes) VALUES (?, ?, ?, ?, ?);' | PARAMS: '(1, 'Work', '2025-06-06 20:07', 'tesssst', 'testingdb')'
2025-03-17 12:05:57,914 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
2025-03-17 12:06:54,525 - DEBUG - *SQL*: 'UPDATE tasks SET status = ?, category = ?, expiration = ?, title = ?, notes = ? WHERE id = ?' | PARAMS: '(1, 'Work', '2026-05-31 10:00', 'new title', 'new notes', 108)'
2025-03-17 12:06:59,202 - DEBUG - *SQL*: 'SELECT id, status, category, expiration, title, notes FROM tasks' | PARAMS: '()'
